arrival_rate,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time
38.0,4.073,262144,488924.87971671065
38.0,4.639,32768,244732.65958796753
38.0,5.649,4096,126909.16899893404
38.0,7.918,512,76093.15071673665
38.0,16.772,64,51020.158241620535
