arrival_rate,bp_parameter_L,bp_parameter_H
26.0,4.073,262144,359260.83040042093
26.0,4.639,32768,1069969.3045704628
26.0,5.649,4096,1350968.1510050488
26.0,7.918,512,3203584.489871775
26.0,16.772,64,9897598.976205038
