arrival_rate,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time
32.0,4.073,262144,179002.00588540902
32.0,4.639,32768,327667.92413509137
32.0,5.649,4096,675664.0153293647
32.0,7.918,512,430273.89252428507
32.0,16.772,64,743732.7063777685
