arrival_rate,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time
24.0,4.073,262144,555196.7357757068
24.0,4.639,32768,2736654.3278671494
24.0,5.649,4096,6286634.344555042
24.0,7.918,512,12657235.173926808
24.0,16.772,64,32214294.26764043
