arrival_rate,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time
22.0,4.073,262144,1826847.5376100766
22.0,4.639,32768,4906511.644980373
22.0,5.649,4096,8291351.418094339
22.0,7.918,512,16409270.3544473
22.0,16.772,64,35608110.6972954
