arrival_rate,bp_parameter_L,bp_parameter_H
24.0,4.073,262144,390951.90365951665
24.0,4.639,32768,896076.5803551613
24.0,5.649,4096,1836146.9823758663
24.0,7.918,512,4704088.50991082
24.0,16.772,64,11710485.813637452
