arrival_rate,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time
28.0,4.073,262144,716521.2952376223
28.0,4.639,32768,1436604.9237591384
28.0,5.649,4096,2609307.7917129667
28.0,7.918,512,5775218.0645083
28.0,16.772,64,21711606.756638557
