arrival_rate,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time
38.0,4.073,262144,976057.7170290699
38.0,4.639,32768,341410.4178990442
38.0,5.649,4096,131553.05014707946
38.0,7.918,512,68244.42384546887
38.0,16.772,64,48187.08264670108
