arrival_rate,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time
38.0,4.073,262144,94726.55602311318
38.0,4.639,32768,141668.17064887934
38.0,5.649,4096,133858.5694417806
38.0,7.918,512,66526.8303468608
38.0,16.772,64,54746.7215091461
