arrival_rate,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time
20.0,4.073,262144,2784827.190066917
20.0,4.639,32768,7600442.2442434225
20.0,5.649,4096,10107861.615719074
20.0,7.918,512,19030505.280127957
20.0,16.772,64,38361457.35573694
