arrival_rate,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time
20.0,4.073,262144,2219689.7613333263
20.0,4.639,32768,5377374.267314392
20.0,5.649,4096,10360137.377135932
20.0,7.918,512,17843338.705757536
20.0,16.772,64,38676469.78058501
