arrival_rate,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time
30.0,4.073,262144,645318.1184725871
30.0,4.639,32768,606452.8740743175
30.0,5.649,4096,815017.3380554551
30.0,7.918,512,4161214.9534759675
30.0,16.772,64,9938004.746926418
