arrival_rate,bp_parameter_L,bp_parameter_H
24.0,4.073,262144,296258.3611410824
24.0,4.639,32768,955375.9369133179
24.0,5.649,4096,1912389.9881917392
24.0,7.918,512,3860061.128000954
24.0,16.772,64,11498457.649159517
