arrival_rate,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time
20.0,4.073,262144,3674322.236618204
20.0,4.639,32768,6495874.3477442665
20.0,5.649,4096,9265866.70783149
20.0,7.918,512,19839959.597001098
20.0,16.772,64,38396356.198870435
