arrival_rate,bp_parameter_L,bp_parameter_H
28.0,4.073,262144,297998.6579902668
28.0,4.639,32768,656715.2479035339
28.0,5.649,4096,1516786.0384780709
28.0,7.918,512,2172229.731440945
28.0,16.772,64,8039505.138274432
