arrival_rate,bp_parameter_L,bp_parameter_H
30.0,4.073,262144,107028.31255326788
30.0,4.639,32768,377012.50501409103
30.0,5.649,4096,798320.9256927943
30.0,7.918,512,1236258.4228942588
30.0,16.772,64,1969094.910184118
