arrival_rate,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time
22.0,4.073,262144,1892716.7871660038
22.0,4.639,32768,4554833.521961258
22.0,5.649,4096,7381282.6445077285
22.0,7.918,512,15226108.252355065
22.0,16.772,64,35991196.79585619
