arrival_rate,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time
26.0,4.073,262144,1333920.1813661866
26.0,4.639,32768,1489700.9711395102
26.0,5.649,4096,3675608.0397462132
26.0,7.918,512,10398311.329731766
26.0,16.772,64,27267918.29724376
