arrival_rate,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time
30.0,4.073,262144,549525.4477501474
30.0,4.639,32768,1354025.448456195
30.0,5.649,4096,459137.6440752816
30.0,7.918,512,4220732.038892069
30.0,16.772,64,9192211.153204706
