arrival_rate,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time
26.0,4.073,262144,1723048.0435307077
26.0,4.639,32768,2440039.9309443687
26.0,5.649,4096,3244026.576960645
26.0,7.918,512,10177193.759581028
26.0,16.772,64,26363661.274591394
