arrival_rate,bp_parameter_L,bp_parameter_H
22.0,4.073,262144,1565201.8860252502
22.0,4.639,32768,1517295.218854261
22.0,5.649,4096,2764465.1807029513
22.0,7.918,512,4785432.809145375
22.0,16.772,64,12734778.20695076
