arrival_rate,bp_parameter_L,bp_parameter_H
20.0,4.073,262144,1154600.1281530329
20.0,4.639,32768,2375563.9502368695
20.0,5.649,4096,3414948.750601391
20.0,7.918,512,6489447.0050120605
20.0,16.772,64,13484672.835519444
