arrival_rate,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time
30.0,4.073,262144,720278.6908704158
30.0,4.639,32768,273238.7965022537
30.0,5.649,4096,1476851.7523864743
30.0,7.918,512,1010033.1344500536
30.0,16.772,64,12103919.562687162
