arrival_rate,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time
34.0,4.073,262144,422116.16972108517
34.0,4.639,32768,144888.97278261033
34.0,5.649,4096,121988.62726910242
34.0,7.918,512,145431.54512347037
34.0,16.772,64,129742.49747480584
