arrival_rate,bp_parameter_L,bp_parameter_H
26.0,4.073,262144,205734.67063672084
26.0,4.639,32768,393073.2498046643
26.0,5.649,4096,1447069.6228557907
26.0,7.918,512,3552020.646375947
26.0,16.772,64,9405393.449823245
