arrival_rate,bp_parameter_L,bp_parameter_H
28.0,4.073,262144,184072.44567289262
28.0,4.639,32768,751420.8029113914
28.0,5.649,4096,1055797.137420821
28.0,7.918,512,2351059.5850684005
28.0,16.772,64,8122979.467820536
