arrival_rate,bp_parameter_L,bp_parameter_H
28.0,4.073,262144,316813.16395945416
28.0,4.639,32768,882282.3991551684
28.0,5.649,4096,694594.4370227853
28.0,7.918,512,2792162.966185355
28.0,16.772,64,7619321.882607533
