arrival_rate,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time
30.0,4.073,262144,548699.94716876
30.0,4.639,32768,227026.78323713262
30.0,5.649,4096,814619.034760421
30.0,7.918,512,6837967.764104552
30.0,16.772,64,12211462.801389398
