arrival_rate,bp_parameter_L,bp_parameter_H,SETF_L2_norm_flow_time
24.0,4.073,262144,1251391.0604303516
24.0,4.639,32768,1353865.2336890846
24.0,5.649,4096,5476293.003511043
24.0,7.918,512,11991872.436259234
24.0,16.772,64,32289763.664657813
