arrival_rate,bp_L,bp_H,FCFS_percentage,BAL_percentage,total_rounds
38.00,8.50,262144,0.00,100.00,100
38.00,9.80,32768,0.00,100.00,100
38.00,12.40,4096,0.00,100.00,100
34.00,8.50,262144,0.00,100.00,100
40.00,9.80,32768,0.00,100.00,100
36.00,8.50,262144,0.00,100.00,100
40.00,12.40,4096,0.00,100.00,100
36.00,9.80,32768,0.00,100.00,100
30.00,8.50,262144,0.00,100.00,100
32.00,9.80,32768,0.00,100.00,100
34.00,12.40,4096,0.00,100.00,100
36.00,12.40,4096,0.00,100.00,100
30.00,9.80,32768,0.00,100.00,100
32.00,8.50,262144,0.00,100.00,100
40.00,8.50,262144,0.00,100.00,100
34.00,9.80,32768,0.00,100.00,100
24.00,8.50,262144,0.00,100.00,100
26.00,8.50,262144,0.00,100.00,100
28.00,8.50,262144,0.00,100.00,100
28.00,9.80,32768,0.00,100.00,100
40.00,18.90,512,0.00,100.00,100
32.00,12.40,4096,0.00,100.00,100
38.00,18.90,512,0.00,100.00,100
26.00,9.80,32768,0.00,100.00,100
22.00,9.80,32768,0.00,100.00,100
30.00,12.40,4096,0.00,100.00,100
24.00,9.80,32768,0.00,100.00,100
24.00,12.40,4096,0.00,100.00,100
28.00,12.40,4096,0.00,100.00,100
20.00,8.50,262144,0.00,100.00,100
22.00,8.50,262144,0.00,100.00,100
36.00,18.90,512,0.00,100.00,100
34.00,18.90,512,0.00,100.00,100
26.00,12.40,4096,0.00,100.00,100
20.00,9.80,32768,0.00,100.00,100
38.00,60.00,24,82.00,18.00,100
22.00,12.40,4096,0.00,100.00,100
32.00,18.90,512,0.00,100.00,100
40.00,60.00,24,82.00,18.00,100
40.00,60.00,18,99.00,1.00,100
30.00,18.90,512,0.00,100.00,100
36.00,60.00,18,99.00,1.00,100
20.00,12.40,4096,0.00,100.00,100
40.00,56.30,64,99.00,1.00,100
28.00,18.90,512,0.00,100.00,100
40.00,60.00,12,99.00,1.00,100
38.00,60.00,12,99.00,1.00,100
22.00,18.90,512,0.00,100.00,100
36.00,60.00,24,75.00,25.00,100
34.00,60.00,24,69.00,31.00,100
32.00,60.00,18,93.00,7.00,100
32.00,60.00,12,99.00,1.00,100
38.00,60.00,18,99.00,1.00,100
36.00,56.30,64,99.00,1.00,100
30.00,60.00,24,33.00,67.00,100
34.00,60.00,12,99.00,1.00,100
32.00,60.00,24,59.00,41.00,100
36.00,60.00,12,99.00,1.00,100
26.00,18.90,512,0.00,100.00,100
34.00,60.00,18,99.00,1.00,100
24.00,18.90,512,0.00,100.00,100
26.00,60.00,24,10.00,90.00,100
28.00,60.00,18,82.00,18.00,100
38.00,56.30,64,99.00,1.00,100
20.00,18.90,512,0.00,100.00,100
28.00,60.00,12,99.00,1.00,100
30.00,56.30,64,99.00,1.00,100
28.00,60.00,24,9.00,91.00,100
30.00,60.00,12,99.00,1.00,100
30.00,60.00,18,87.00,13.00,100
26.00,60.00,12,99.00,1.00,100
34.00,56.30,64,99.00,1.00,100
32.00,56.30,64,99.00,1.00,100
22.00,60.00,12,99.00,1.00,100
22.00,60.00,24,0.00,100.00,100
26.00,60.00,18,75.00,25.00,100
24.00,60.00,12,99.00,1.00,100
24.00,60.00,18,48.00,52.00,100
24.00,60.00,24,1.00,99.00,100
20.00,60.00,24,0.00,100.00,100
22.00,60.00,18,6.00,94.00,100
20.00,60.00,18,0.00,100.00,100
20.00,60.00,12,99.00,1.00,100
28.00,56.30,64,99.00,1.00,100
24.00,56.30,64,99.00,1.00,100
26.00,56.30,64,99.00,1.00,100
20.00,56.30,64,99.00,1.00,100
22.00,56.30,64,99.00,1.00,100
