frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,394088.901559,167099.000000,0.000000
4,993676.579670,302030.000000,0.000000
8,544956.209626,300025.000000,0.000000
16,456458.983859,165894.000000,0.000000
32,642575.888122,271174.000000,0.000000
64,505227.069366,131654.000000,0.000000
128,824946.956843,294887.000000,0.000000
256,920172.269100,299756.000000,0.000000
512,611612.984590,274157.000000,0.000000
1024,710108.922274,278656.000000,0.000000
2048,1559055.691831,226471.000000,0.000000
4096,524958.706965,194809.000000,0.000000
8192,1245141.940095,251419.000000,0.000000
16384,557257.281805,107337.000000,0.000000
32768,3850833.048126,263374.000000,0.000000
65536,1662296.938662,300835.000000,0.000000
