frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,462414.615234,288353.000000,152.039469
4,362859.557683,178295.000000,652.026073
8,513260.450296,250802.000000,62.297673
16,199246.957668,81187.000000,94.688965
32,156951.064208,87059.000000,828.746041
64,263505.094805,189291.000000,260.044227
128,215639.984381,153872.000000,132.578279
256,294954.219978,165820.000000,80792.644987
512,404132.619171,267063.000000,267064.569863
1024,724436.970115,287766.000000,27348.976782
2048,321644.862561,186384.000000,3639.437869
4096,191796.732561,95640.000000,33593.468606
8192,573310.960867,306246.000000,398047.316888
16384,295556.223602,120956.000000,114060.595058
32768,776281.094016,250611.000000,432782.196404
65536,1268167.585086,241996.000000,1247965.727980
