frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,263476.821660,184830.000000,0.000000
4,233281.119823,180530.000000,0.000000
8,283733.653956,139910.000000,0.000000
16,699049.153962,234528.000000,0.000000
32,383713.387421,114220.000000,0.000000
64,422462.069958,198219.000000,0.000000
128,263365.234788,120717.000000,0.000000
256,636974.065050,189763.000000,0.000000
512,485649.278160,263502.000000,0.000000
1024,352057.157962,101487.000000,0.000000
2048,860467.034949,292936.000000,0.000000
4096,604505.528724,264247.000000,0.000000
8192,568587.284226,208010.000000,0.000000
16384,308884.075928,146543.000000,0.000000
32768,959676.715182,197855.000000,0.000000
65536,1025177.804414,246705.000000,0.000000
