frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,466220.057955,220315.000000,35.482390
4,125506.774303,72087.000000,115.095612
8,205214.087701,94874.000000,50.269275
16,447909.002339,156893.000000,1115.954300
32,467284.626486,357498.000000,1643.465241
64,96693.561492,40596.000000,178.280678
128,413155.088445,294264.000000,213.335417
256,332675.691892,282139.000000,4511.379501
512,164725.890612,70496.000000,1329.469443
1024,480901.908696,308417.000000,39399.579414
2048,550032.288189,279302.000000,103584.938900
4096,167305.517814,43937.000000,43829.577114
8192,296425.663383,186499.000000,85398.051389
16384,1224116.122395,284020.000000,469219.929411
32768,853101.507013,341970.000000,402177.840020
65536,631335.027535,283203.000000,603457.978462
