frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,391470.790582,233554.000000,7.000000
4,731559.050155,318320.000000,31.984371
8,585161.417234,263034.000000,217555.002496
16,202219.578234,119038.000000,617.440685
32,506040.614104,310352.000000,523.555155
64,310871.673711,195654.000000,191.804588
128,223148.386530,104595.000000,2314.620487
256,389126.864354,215349.000000,501.118748
512,363291.572803,316258.000000,670.055222
1024,174395.608465,120039.000000,2954.201076
2048,168133.358255,68155.000000,7204.243680
4096,252320.737923,217847.000000,38617.355101
8192,88551.029700,28523.000000,32190.451255
16384,345124.844343,177752.000000,77514.747203
32768,399766.629639,94037.000000,72728.281507
65536,348567.297171,173586.000000,93018.062977
