frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,500601.133158,212517.000000,0.000000
4,422539.624890,176252.000000,0.000000
8,551657.822395,134727.000000,0.000000
16,735855.892555,238513.000000,0.000000
32,592172.979172,286116.000000,0.000000
64,946746.544897,263786.000000,0.000000
128,653231.674810,291832.000000,0.000000
256,1737967.126666,279108.000000,0.000000
512,681748.272499,207095.000000,0.000000
1024,990908.078683,264720.000000,0.000000
2048,1234553.003991,285248.000000,0.000000
4096,1408147.741053,276603.000000,0.000000
8192,1716280.452799,297215.000000,0.000000
16384,2387361.270892,179943.000000,0.000000
32768,632708.507790,176303.000000,0.000000
65536,2034635.130779,241572.000000,0.000000
