frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,867809.351648,264064.000000,144.339877
4,355955.639731,142673.000000,1054.322057
8,501488.782369,185742.000000,200.982586
16,650957.611323,230479.000000,12542.522952
32,682992.951980,223972.000000,39546.850507
64,1337536.736632,282392.000000,789.162848
128,1031307.256731,290504.000000,1577.142352
256,798466.539709,302564.000000,7330.607615
512,451318.993727,181477.000000,13232.399933
1024,1919104.792261,288457.000000,342188.906749
2048,1690897.435859,256251.000000,581409.497909
4096,890555.184694,273032.000000,206213.190439
8192,717969.480508,171188.000000,531998.549782
16384,2019734.481821,287530.000000,1058804.219510
32768,2881004.277210,263052.000000,1779304.474095
65536,4429378.617490,194578.000000,3741831.549768
