frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,455509.845001,201504.000000,52.449976
4,132215.048081,56248.000000,212.341706
8,633618.526281,288265.000000,2442.671488
16,282302.706992,154516.000000,145.639967
32,260171.238224,102806.000000,1777.987064
64,503968.532304,271928.000000,210.152326
128,906481.764480,286280.000000,172136.887476
256,305210.069768,144854.000000,10275.918791
512,460112.562418,278043.000000,147927.538410
1024,223781.186933,87622.000000,25689.261122
2048,537848.309245,238835.000000,45497.750955
4096,720602.256615,309336.000000,277077.110908
8192,822246.952203,280653.000000,180461.552229
16384,294864.873968,81885.000000,202618.924415
32768,578622.272859,151609.000000,422478.224537
65536,630727.748173,225703.000000,533240.630485
