frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,115866.153906,101419.000000,0.000000
4,492264.975362,390619.000000,0.000000
8,59723.764801,32768.000000,0.000000
16,137232.913446,60789.000000,0.000000
32,588242.559667,290895.000000,0.000000
64,883285.233460,405612.000000,0.000000
128,215119.070900,163012.000000,0.000000
256,175051.793098,91554.000000,0.000000
512,540663.248226,232853.000000,0.000000
1024,294133.845055,198763.000000,0.000000
2048,260005.515738,125924.000000,0.000000
4096,161154.011411,62378.000000,0.000000
8192,606546.542398,193091.000000,0.000000
16384,792727.529230,273324.000000,0.000000
32768,179063.215335,66590.000000,0.000000
65536,366827.559826,131955.000000,0.000000
