frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,195143.674466,79033.000000,32.046841
4,242533.999666,107590.000000,37.013511
8,300081.496287,108166.000000,967.912186
16,481466.542936,227071.000000,25994.215164
32,947004.507346,265371.000000,265.998120
64,317731.125814,141700.000000,19974.688108
128,1335400.105984,303869.000000,106865.408777
256,1396005.480904,268555.000000,268666.021430
512,1206701.240610,284499.000000,18364.104607
1024,1396841.759370,283917.000000,344945.051708
2048,1210171.440969,265126.000000,174915.211237
4096,1747216.284162,298707.000000,419612.225711
8192,870961.217432,60972.000000,184552.884862
16384,1060819.950627,152345.000000,283753.090434
32768,5221157.398992,217835.000000,5181899.043788
65536,3669299.434002,279660.000000,1485297.735044
