frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,353197.575913,5513.000000,6283.932368
4,218509.780717,4048.000000,6224.255377
8,441483.324273,7287.000000,16033.916864
16,707169.805340,12411.000000,23022.850714
32,633991.566129,11201.000000,27795.745214
64,938930.543650,16269.000000,22541.164677
128,1213784.031562,19823.000000,105651.924990
256,1288597.383603,19715.000000,133182.660512
512,1183384.543829,19090.000000,85213.841311
1024,864933.114978,15703.000000,58554.233844
2048,874589.793707,16252.000000,18668.526241
4096,881098.831851,24951.000000,409574.192289
8192,592231.083666,11984.000000,59649.101594
16384,631924.131271,17644.000000,433385.486415
32768,1930388.252832,38614.000000,1508962.546870
65536,1248004.892324,20430.000000,501533.337148
