frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,554889.392090,7962.000000,10505.598745
4,423689.859161,6781.000000,12379.952787
8,683152.605992,10825.000000,17521.704883
16,780384.124435,16353.000000,7124.630376
32,839989.931108,14873.000000,7999.716495
64,1149103.713312,21139.000000,97859.060357
128,922504.452312,17262.000000,28497.167561
256,852055.050410,16682.000000,63196.349681
512,1071345.597228,14726.000000,127548.078351
1024,1519009.136993,27537.000000,130545.595303
2048,1306729.996428,25300.000000,69332.880872
4096,309484.824348,7220.000000,22381.793047
8192,1281702.547331,22012.000000,235555.925065
16384,1800284.136963,36691.000000,716664.596782
32768,1549714.921107,25797.000000,763328.138731
65536,1259095.216036,25426.000000,884049.363537
