frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,450035.414915,8548.000000,13140.453150
4,641454.624505,12182.000000,16314.813759
8,500905.323276,8491.000000,16524.302194
16,980884.669718,16074.000000,29644.289855
32,851981.756730,17397.000000,40291.538529
64,1006150.787828,19158.000000,79054.105181
128,1063706.622551,19145.000000,91243.524357
256,837532.982487,15997.000000,90250.797027
512,803027.215599,15553.000000,105988.705210
1024,1535639.959025,21644.000000,48589.192914
2048,2066994.579728,35373.000000,640393.774337
4096,1225962.337450,19630.000000,38303.523924
8192,2629468.512420,37618.000000,199590.991147
16384,2564716.828607,43239.000000,486876.302296
32768,3647714.128347,57160.000000,1617257.683469
65536,377154.226327,10075.000000,0.000000
