frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,372136.524849,6002.000000,15602.602860
4,539273.315947,11227.000000,8897.555226
8,1167759.257765,19506.000000,10313.989238
16,683501.473819,13179.000000,298.278393
32,668555.694400,12761.000000,16780.362809
64,903828.644742,15839.000000,61951.310051
128,811437.889135,13464.000000,41129.434776
256,1495906.982396,24524.000000,143920.399259
512,1034136.794974,18396.000000,90673.771185
1024,1051567.220992,20178.000000,99610.455902
2048,1456303.985467,30436.000000,423570.363319
4096,1278622.862045,27761.000000,597655.777682
8192,1645601.987282,31685.000000,579626.599632
16384,2032012.359840,37623.000000,756486.150081
32768,1351678.313264,25337.000000,304105.124429
65536,1946857.593893,26516.000000,559276.019054
