frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,713203.678673,11044.000000,4317.960977
4,462197.776713,8292.000000,1338.093420
8,559576.093630,9494.000000,3521.030815
16,580655.986098,10708.000000,17360.761014
32,855954.894973,15195.000000,61820.995479
64,759545.868594,12404.000000,38022.556134
128,1006524.289786,15675.000000,61101.480866
256,728614.277051,14435.000000,35804.321289
512,1234134.233750,19603.000000,125835.437739
1024,1091130.224826,17926.000000,94495.983227
2048,1407538.351087,25109.000000,223056.174570
4096,1419518.998425,21790.000000,148789.797234
8192,1344552.088109,21224.000000,135045.959462
16384,1603086.943508,33203.000000,450772.996319
32768,1764566.974423,26601.000000,795713.329697
65536,676549.066483,14124.000000,0.000000
