frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,432479.407645,7659.000000,2399.681020
4,233214.199298,5522.000000,10646.611480
8,802904.917014,13116.000000,9871.660701
16,823143.520519,14762.000000,18806.623036
32,874466.994063,13263.000000,37903.226274
64,1207664.627919,19322.000000,86926.769076
128,1078668.628621,18331.000000,60063.757883
256,739678.176619,16611.000000,4510.796049
512,1248524.149388,17872.000000,139174.243019
1024,1445562.006459,24761.000000,166604.579562
2048,1199706.358905,19651.000000,145839.837123
4096,1313110.972348,22764.000000,143514.655318
8192,1127253.233666,24213.000000,555460.478894
16384,793241.824483,15555.000000,318646.723474
32768,2121629.990564,34710.000000,503274.899440
65536,355743.691144,10016.000000,0.000000
