frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,523562.252454,8383.000000,629.925392
4,382003.383533,5965.000000,11153.813429
8,645835.487099,11580.000000,10359.982625
16,729726.660429,14506.000000,15675.380538
32,751127.142730,12367.000000,38028.343587
64,553384.983054,10516.000000,11914.819428
128,1009606.641490,19401.000000,64229.107109
256,1289571.705781,24405.000000,67346.938661
512,694537.880693,12824.000000,29897.670260
1024,1140983.967614,18394.000000,140618.553129
2048,607207.542606,14151.000000,180250.336441
4096,1041706.190188,21893.000000,111792.183072
8192,1099707.253736,23288.000000,186520.768723
16384,2420629.933433,37702.000000,602132.092465
32768,1253387.271127,26145.000000,794985.655620
65536,1898991.091211,27069.000000,933562.750201
