frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,653974.853851,36755.000000,0.000000
4,667350.830221,39075.000000,0.000000
8,881075.184319,41469.000000,0.000000
16,772264.820230,37240.000000,0.000000
32,1017504.019000,41403.000000,0.000000
64,1274735.420702,96998.000000,0.000000
128,1053685.316854,37695.000000,0.000000
256,1252035.770804,77044.000000,0.000000
512,1058351.990692,36308.000000,0.000000
1024,1278006.119813,103230.000000,0.000000
2048,1275849.881333,111395.000000,0.000000
4096,1642740.825432,132744.000000,0.000000
8192,1029804.592911,38628.000000,0.000000
16384,1995965.163624,168395.000000,0.000000
32768,3792964.151944,249986.000000,0.000000
65536,1297391.751732,84485.000000,0.000000
