frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,459378.270768,43739.000000,204.017156
4,868205.082328,45716.000000,191.997396
8,689446.576221,44271.000000,935.695998
16,918539.413626,44199.000000,20941.213408
32,1125941.878591,43967.000000,48257.682601
64,1194939.963853,60133.000000,40159.794073
128,1252875.903404,92365.000000,80258.962378
256,1054107.933004,41405.000000,111195.203507
512,1389370.919895,98782.000000,220222.999798
1024,1528103.679519,108822.000000,340356.141145
2048,975615.010415,47044.000000,108330.065102
4096,1278128.236400,96525.000000,461936.391085
8192,1341867.546699,143669.000000,535967.591267
16384,1327329.966321,81832.000000,596710.815504
32768,3340636.367843,218618.000000,1927948.799276
65536,182603.217483,39083.000000,0.000000
