frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,750983.970125,42798.000000,186.595820
4,792601.923608,36754.000000,30291.175316
8,764869.622124,40046.000000,552.756728
16,1038198.331254,40953.000000,33898.564453
32,1069792.445667,37681.000000,144.989655
64,1089080.930623,39541.000000,50744.067998
128,988146.017070,39146.000000,36261.499914
256,1071532.762937,35890.000000,89270.171485
512,1297992.025212,98384.000000,55364.052092
1024,991242.239025,36759.000000,87535.656855
2048,775262.315273,44220.000000,166416.384749
4096,1545929.138975,127334.000000,586468.400303
8192,1186112.576311,95791.000000,494968.283495
16384,1904977.642758,127728.000000,1234065.362103
32768,2920437.021857,227233.000000,709059.334146
65536,1782507.223910,122529.000000,1661919.050513
