frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,354469.507157,42807.000000,118.139748
4,685187.227424,39159.000000,26607.985925
8,859309.729858,43765.000000,162.043204
16,910896.378159,41497.000000,35433.646524
32,1025335.739171,42801.000000,34901.254261
64,967313.331014,44217.000000,34681.650667
128,994734.448567,44222.000000,64328.832875
256,968628.945041,43275.000000,135661.785308
512,1505461.463802,130448.000000,71748.730344
1024,1090499.728587,44903.000000,132098.733067
2048,1187715.931043,45890.000000,134006.726480
4096,945132.559477,62648.000000,327601.360594
8192,1024334.271280,70317.000000,348265.173572
16384,811704.768092,42020.000000,430383.408427
32768,2835670.054937,218302.000000,2254614.954702
65536,3616153.919736,280606.000000,2283813.811290
