frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,202600.320977,69515.000000,777.422665
4,472499.364293,220004.000000,12530.828464
8,619483.938867,236344.000000,3356.289916
16,101063.720578,53698.000000,201.650688
32,276439.357898,178261.000000,21564.073432
64,172608.799706,123469.000000,1160.817815
128,538028.930961,244817.000000,17485.648115
256,544115.207737,197028.000000,42686.148772
512,203585.361790,108398.000000,15101.412848
1024,467254.544195,183580.000000,14471.094983
2048,298008.032920,107994.000000,117117.687558
4096,542954.160924,163449.000000,50976.244654
8192,190812.364869,55495.000000,97307.460048
16384,191646.783490,73658.000000,143233.349360
32768,75069.554102,20516.000000,66190.980156
65536,188913.066155,114923.000000,0.000000
