frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,600761.277773,154558.000000,601.022462
4,190860.165815,84164.000000,2689.230931
8,263637.155763,107300.000000,1252.600894
16,571479.396105,224684.000000,1430.513894
32,482386.076667,205977.000000,288.974047
64,581752.966445,304290.000000,1142.844696
128,752043.654097,292743.000000,29046.409554
256,599445.342950,186545.000000,19696.809336
512,672264.616622,231514.000000,37949.913425
1024,332300.417601,137416.000000,32232.621255
2048,978495.409990,267946.000000,211629.836658
4096,1266195.409019,269157.000000,291082.215893
8192,768935.152000,82796.000000,562044.480843
16384,638774.152245,195350.000000,409547.687720
32768,1601494.347080,162298.000000,800128.926693
65536,335191.365138,29642.000000,0.000000
