frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,413219.218975,108020.000000,1010.880309
4,401578.821663,261325.000000,799.060699
8,447299.739637,162563.000000,622.992777
16,209963.324633,106659.000000,56.284989
32,642899.163901,267022.000000,3694.062398
64,503681.589688,129992.000000,2971.242333
128,224067.459730,76690.000000,6278.106004
256,748657.520435,262900.000000,21060.575206
512,911952.763645,298915.000000,33925.591815
1024,766444.419902,270583.000000,69716.182497
2048,548700.317621,187149.000000,146202.350600
4096,963707.136413,191497.000000,446256.463905
8192,1605321.643644,167249.000000,620421.897912
16384,459467.161481,104877.000000,208897.284365
32768,648869.183717,217106.000000,291501.862550
65536,213405.494058,54966.000000,189673.128134
