frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,70771.094431,22631.000000,1168.941401
4,402982.518910,354476.000000,65.314623
8,249320.817444,165553.000000,553.555779
16,276043.473029,137688.000000,1140.263128
32,541082.034828,280027.000000,6913.881833
64,544320.871304,261835.000000,7970.825804
128,84090.334011,55341.000000,3214.424676
256,467812.543361,196164.000000,12917.736566
512,452098.916016,168552.000000,958.393969
1024,285360.851672,110957.000000,22548.331025
2048,491937.658668,216578.000000,27162.419940
4096,200784.463684,50596.000000,102691.907471
8192,454485.271478,126233.000000,156546.662405
16384,837538.611362,159683.000000,566356.385452
32768,343513.416239,111927.000000,197064.273746
65536,735065.651124,166935.000000,692725.617797
