frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,272426.726582,180127.000000,0.000000
4,315105.441073,267150.000000,0.000000
8,73671.848036,50641.000000,0.000000
16,86978.447658,50245.000000,0.000000
32,297331.142656,251457.000000,0.000000
64,316732.777478,226795.000000,0.000000
128,254282.256640,176236.000000,0.000000
256,142885.573037,104321.000000,0.000000
512,351129.639502,218383.000000,0.000000
1024,322767.424905,203716.000000,0.000000
2048,267023.567778,203840.000000,0.000000
4096,593654.483579,287393.000000,0.000000
8192,460578.811095,200397.000000,0.000000
16384,290835.362900,172134.000000,0.000000
32768,424707.923619,108875.000000,0.000000
65536,658763.617795,316137.000000,0.000000
