frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,326649.767147,235409.000000,40.570926
4,402496.737475,287338.000000,4691.892795
8,99896.006066,62886.000000,28.372522
16,466978.883617,353819.000000,37.175261
32,101383.980529,62877.000000,127.149518
64,170620.939999,120200.000000,353.435991
128,55889.059063,28534.000000,903.795884
256,240867.062422,166511.000000,441.455547
512,169081.391309,83312.000000,35694.997745
1024,211392.763015,109257.000000,2068.521211
2048,303025.222190,195258.000000,44508.504435
4096,492241.753837,242020.000000,33775.514963
8192,298573.879701,119552.000000,40981.976843
16384,899648.198659,322267.000000,161346.166261
32768,102748.784402,73374.000000,12213.908875
65536,623222.673945,226241.000000,483714.568668
