frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,494475.702900,310164.000000,20.049938
4,370681.712600,264328.000000,37.496667
8,102559.655616,79264.000000,88.836929
16,108375.550425,89910.000000,98.122373
32,362329.475562,220187.000000,287.339520
64,131773.903820,92316.000000,134.562253
128,390113.954712,287519.000000,1728.434841
256,415699.697509,321264.000000,10046.463756
512,358718.804948,283664.000000,4816.198501
1024,344641.941970,197172.000000,57977.715098
2048,189798.754050,96252.000000,81917.384492
4096,385404.306583,274110.000000,66457.548051
8192,223888.358248,146794.000000,183316.538059
16384,147806.446504,65439.000000,123890.309722
32768,284806.001598,190341.000000,85287.516109
65536,515690.058190,92292.000000,53062.517920
