frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,85195.657366,36481.000000,23.853721
4,74881.136750,30480.000000,1273.578816
8,259553.901720,215553.000000,59.682493
16,457952.152416,429900.000000,406.551350
32,129639.282091,116984.000000,152.620444
64,275033.423331,173033.000000,121.782593
128,130175.395294,86858.000000,272.099247
256,348893.329833,252722.000000,8202.628725
512,355176.595516,250141.000000,81274.568968
1024,174806.682933,129721.000000,47480.817695
2048,208140.369496,85947.000000,85889.137468
4096,125003.428981,47711.000000,4396.532042
8192,204702.159588,83581.000000,53665.312661
16384,310221.574616,201160.000000,79616.079664
32768,507220.241461,202657.000000,438592.777627
65536,1796006.420476,189822.000000,1376272.638668
