frequency,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time,Dynamic_BAL_njobs100_mode7_L2_norm_flow_time,Dynamic_BAL_njobs100_mode1_max_flow_time,Dynamic_BAL_njobs100_mode2_max_flow_time,Dynamic_BAL_njobs100_mode3_max_flow_time,Dynamic_BAL_njobs100_mode4_max_flow_time,Dynamic_BAL_njobs100_mode5_max_flow_time,Dynamic_BAL_njobs100_mode6_max_flow_time,Dynamic_BAL_njobs100_mode7_max_flow_time
1024,479772.981628,479772.981628,479772.981628,479772.981628,479772.981628,479772.981628,479772.981628,84815.000000,84815.000000,84815.000000,84815.000000,84815.000000,84815.000000,84815.000000
128,13080.297627,14919.352868,13080.297627,13080.297627,13080.297627,13080.297627,14919.352868,8816.000000,8816.000000,8816.000000,8816.000000,8816.000000,8816.000000,8816.000000
16384,80894.800748,80894.800748,80894.800748,80894.800748,80894.800748,80894.800748,80894.800748,36366.000000,36366.000000,36366.000000,36366.000000,36366.000000,36366.000000,36366.000000
16,418207.673349,418207.673349,418207.673349,418207.673349,418207.673349,418207.673349,418207.673349,63106.000000,63106.000000,63106.000000,63106.000000,63106.000000,63106.000000,63106.000000
2048,75168.547685,75168.547685,75168.547685,75168.547685,75168.547685,75168.547685,75168.547685,51297.000000,51297.000000,51297.000000,51297.000000,51297.000000,51297.000000,51297.000000
256,323055.184371,323055.184371,323055.184371,323055.184371,323055.184371,323055.184371,323055.184371,59990.000000,59990.000000,59990.000000,59990.000000,59990.000000,59990.000000,59990.000000
2,232033.882282,232033.882282,232033.882282,232033.882282,232033.882282,232033.882282,232033.882282,46759.000000,46759.000000,46759.000000,46759.000000,46759.000000,46759.000000,46759.000000
32768,35802.403928,35802.403928,35802.403928,35802.403928,35802.403928,35802.403928,35802.403928,20882.000000,20882.000000,20882.000000,20882.000000,20882.000000,20882.000000,20882.000000
32,70011.400300,41804.717138,41804.717138,41804.717138,70011.400300,41804.717138,41804.717138,34803.000000,35054.000000,35054.000000,35054.000000,34803.000000,35054.000000,35054.000000
4096,165518.268656,165518.268656,165518.268656,165518.268656,165518.268656,165518.268656,165518.268656,51911.000000,51911.000000,51911.000000,51911.000000,51911.000000,51911.000000,51911.000000
4,14512.668225,14512.668225,14512.668225,14512.668225,14512.668225,14512.668225,14512.668225,8532.000000,8532.000000,8532.000000,8532.000000,8532.000000,8532.000000,8532.000000
512,7949.287075,8097.439966,8091.883464,7899.277119,7949.287075,8091.470818,9453.986672,5049.000000,5419.000000,5419.000000,5049.000000,5049.000000,5419.000000,2841.000000
64,25562.211328,25562.211328,25562.211328,25562.211328,25562.211328,25562.211328,25562.211328,20221.000000,20221.000000,20221.000000,20221.000000,20221.000000,20221.000000,20221.000000
65536,28404.826491,28404.826491,28404.826491,28404.826491,28404.826491,28404.826491,28404.826491,16274.000000,16274.000000,16274.000000,16274.000000,16274.000000,16274.000000,16274.000000
8192,16955.163904,16955.163904,16955.163904,16955.163904,16955.163904,16955.163904,16955.163904,14444.000000,14444.000000,14444.000000,14444.000000,14444.000000,14444.000000,14444.000000
8,192036.209672,192036.209672,192036.209672,192036.209672,192036.209672,192036.209672,192036.209672,49155.000000,49155.000000,49155.000000,49155.000000,49155.000000,49155.000000,49155.000000
