frequency,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time,Dynamic_BAL_njobs1_mode1_max_flow_time
1024,37481.103386,27811.000000
128,412641.076185,64507.000000
16384,216090.270283,54199.000000
16,245693.443514,53665.000000
2048,157790.699539,31669.000000
256,398917.907856,74842.000000
2,228219.958089,51910.000000
32768,352716.579398,99807.000000
32,424203.667695,90171.000000
4096,152779.484467,51318.000000
4,217346.709927,44323.000000
512,402405.443501,58713.000000
64,212488.006850,47258.000000
65536,11519.655464,7129.000000
8192,132780.681471,48457.000000
8,280759.683614,65200.000000
