frequency,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time,Dynamic_BAL_njobs1_mode1_max_flow_time
1024,236379.852174,54633.000000
128,233243.280107,55175.000000
16384,155711.027162,43138.000000
16,17237.149097,16020.000000
2048,36789.625780,8875.000000
256,22364.939101,14423.000000
2,222061.223560,45330.000000
32768,269006.314528,50510.000000
32,29307.864184,27652.000000
4096,669579.143396,72510.000000
4,39730.990675,26465.000000
512,171495.971985,42300.000000
64,450470.868550,71514.000000
65536,17463.031037,12766.000000
8192,421616.726276,40473.000000
8,230191.887944,47697.000000
