frequency,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time,Dynamic_BAL_njobs1_mode1_max_flow_time
1024,24055.927398,8389.000000
128,23415.094875,20529.000000
16384,636700.749583,71233.000000
16,13691.075706,12593.000000
2048,427494.737301,79043.000000
256,452079.789435,115420.000000
2,239662.813004,49536.000000
32768,303561.589654,53505.000000
32,197271.967122,40473.000000
4096,62969.423024,17301.000000
4,396742.671794,75570.000000
512,489677.734771,74344.000000
64,17361.168883,12746.000000
65536,168001.777586,55089.000000
8192,429410.428942,38801.000000
8,243938.004768,49179.000000
