frequency,Dynamic_BAL_njobs1_mode1_L2_norm_flow_time,Dynamic_BAL_njobs1_mode1_max_flow_time
1024,479772.981628,84815.000000
128,13080.297627,8816.000000
16384,80894.800748,36366.000000
16,418207.673349,63106.000000
2048,75168.547685,51297.000000
256,323055.184371,59990.000000
2,232033.882282,46759.000000
32768,35802.403928,20882.000000
32,41804.717138,35054.000000
4096,165518.268656,51911.000000
4,14512.668225,8532.000000
512,8091.470818,5419.000000
64,25562.211328,20221.000000
65536,28404.826491,16274.000000
8192,16955.163904,14444.000000
8,192036.209672,49155.000000
